,name,description,created_at,text,location,retweeted,owner_name,owner_location,owner_created_at,retweeted_count
0,lore de áries,"Sofrendo por séries e casais desde 1997 , fã da KATY PERRY e TAYLOR SWIFT 🌸🍭 , filha adotiva de VAUSEMAN e cadelinha da STANA KATIC nas horas vagas  ♥️✨",Mon Feb 01 14:05:37 +0000 2021,"RT @drysanaoliveira: Não bastando a pandemia, o amazonense tem que lidar com desastres naturais, toque de recolher, desvio de vacina, um go…",Grey Sloan Memorial Hospital,True,Capitu,"Manaus, Brasil",Mon Feb 01 01:49:23 +0000 2021,5
1,_ouriki_ツ,n me julgue :v,Mon Feb 01 14:05:37 +0000 2021,"@videovergonhakk O meu filho n toma vacina é tá ótimo
O filho:",,False,,,,
2,Pablo Verdolaga 🇧🇷,"PERFIL FOCADO EM ASSUNTOS POLÍTICOS E OPINIÕES DE UM CONSERVADOR CONVICTO, ISSO BASTA.",Mon Feb 01 14:05:38 +0000 2021,"RT @brunaobarreto3: Não pode:

- Nomear como ""vírus chinês"" um vírus que nasceu na China!! 🤦🏻‍♂️

Pode:

- Justificar como ""cepa brasileira…",Brasil 🇧🇷,True,Brunão,,Mon Feb 01 12:23:00 +0000 2021,115
3,kátia mano,"Dentista, crocheteira, mãe, atéia, petista e socialista libertária, revolucionária de berço ( paterno). #juntospelaliberdade",Mon Feb 01 14:05:38 +0000 2021,@roberta_bastoss Eu acredito.  Mas a diferença não mudará grandes coisas pra esquerda.  Só trabalhará com mais faci… https://t.co/bxKtjMlACe,"Copacabana, Rio de Janeiro",False,,,,
4,carolina,777,Mon Feb 01 14:05:38 +0000 2021,eu e os meus amigos em 2075 quando finalmente pudermos sair de casa https://t.co/taGv1zSdHK,,False,,,,
5,RobertoOliveira,"Cuitindo uma quarentena , com trombose, de perna p/ ar esperando a morte chegar que ninguém é de ferro , pra aguentar mais 1 ano dendicasa foi quase ,sobrevivi",Mon Feb 01 14:05:39 +0000 2021,@CNNBrasil Quase morri de tanto rir do ancora CNN tentando defender os deuses do Olimpo. da falacia do coronavirus… https://t.co/4AqI0qE7Im,,False,,,,
6,Eve Fernandes,"Amo a medicina, pizza e praia. Não necessariamente nessa ordem...",Mon Feb 01 14:05:40 +0000 2021,RT @BlogdoBG: Brasil sobe para 8º no ranking de vacinação contra a Covid-19 https://t.co/CTZVxanrEE https://t.co/HyUIKmDu5u,,True,BLOGDOBG,Natal/RN,Mon Feb 01 12:52:08 +0000 2021,1
7,Correio da Manhã,Notícias 24 horas por dia. Diário português de maior circulação. Twitter Oficial.,Mon Feb 01 14:05:41 +0000 2021,"Sociedade - Hospital em Famalicão nega ""qualquer fraude"" na vacinação https://t.co/wUrtPZ7qqE","Lisboa, Portugal",False,,,,
8,Correio da Manhã,Notícias 24 horas por dia. Diário português de maior circulação. Twitter Oficial.,Mon Feb 01 14:05:41 +0000 2021,Vídeos - Profissional de saúde desliga frigorífico e destrói mais de 1100 doses da vacina da Covid-19 https://t.co/xjGii4Ol6s,"Lisboa, Portugal",False,,,,
9,camila,(ela/dela) 🏳️‍🌈 | fazer o quê né  |Ciências Sociais UFMG,Mon Feb 01 14:05:42 +0000 2021,"RT @ubesoficial: Tema da redação do #EnemDigital: ""O desafio de reduzir as desigualdades entre as regiões do Brasil""

Esse tema parece até…",entre Belo Horizonte e Carajás,True,União Brasileira dos Estudantes Secundaristas,Brasil,Mon Feb 01 14:01:18 +0000 2021,2
10,Heitor do Texas,Amante dos gatos e do @VascodaGama,Mon Feb 01 14:05:42 +0000 2021,"RT @sfpepior: Se botar o coronavírus numa sala com Lumena, Fiuk e Conká a vacina fica pronta em 12h","Vitória, Brasil",True,Se Ficar Puto É Pior,"Rio de Janeiro, Brasil",Mon Feb 01 01:50:37 +0000 2021,931
11,Davi Soares Leão,"Pretty nerd gentlemen at your disposal, baby. 
A esperança é a mais perigosa das armas, é o início de tudo e a última que se apaga.",Mon Feb 01 14:05:43 +0000 2021,"RT @Nerdbunker: Ator e dublador, Orlando Drummond, o Vingador de Caverna do Dragão, é vacinado contra a COVID-19 aos 101 anos https://t.co/…","Manaus, Brasil",True,NerdBunker,Brasil,Mon Feb 01 13:05:49 +0000 2021,116
12,Gaúcho,.Gaúcho .Gremista . Educação Física-Universo . Preparador de goleiros . @gabrotinho,Mon Feb 01 14:05:43 +0000 2021,"Namoral, se a Universo me obrigar a ir fazer aula prática sem vacina vou ficar muito puto","Itaboraí, Brasil",False,,,,
13,Brabinha,"insuficiente, feia e chata
.                 
.                  .
Naruto não desistiu de ser Hokage, eu não vou desistir de ser bióloga",Mon Feb 01 14:05:44 +0000 2021,Minha tia anti vacina colocando coisa na cabeça de vó 🤩🙏🏻,Vila Oculta da Folha ,False,,,,
14,Thainá,"she didn't deserve his heart, let us love
bookstan ⊣ (ela/dela) ⊢

∙blessed be the squad✨",Mon Feb 01 14:05:45 +0000 2021,"O cara chamou a vacina de vaCHINA, defendeu o Bolsonaro até o momento que entrou na casa do BBB, lançou racismo rev… https://t.co/tYRdws8ePX",Chalé 10 ≎ Ravenclaw,False,,,,
15,amaanda,"amanda eu 
aqui eu só reclamo e falo mal de mediciner e league of legends

#medtwitter
direito ufrj 10/10 medicina uff 6/10",Mon Feb 01 14:05:45 +0000 2021,chega a dar vergonha de assistir uma reportagem dessas,,False,,,,
16,aske.jotaéme,"IG: @joaoo_graca
behance: https://www.behance.net/joaomgraca",Mon Feb 01 14:05:47 +0000 2021,"O que é que aconteceu em 2009?!? ""Janeiro é o mês com mais mortes dos últimos 12 anos."" https://t.co/RQQsQBLIEA",Figueira da Foz ,False,,,,
17,vegemariana,amargurada e escrota,Mon Feb 01 14:05:48 +0000 2021,Falou mal da China a pandemia toda pra hoje dizer que vai tomar CoronaVac e não a de Oxford pq a de oxford tava dan… https://t.co/QDYKR9hhLh,"Teresina, Brasil",False,,,,
18,carmen nobrega,,Mon Feb 01 14:05:49 +0000 2021,"RT @bcastro_denise: Brega é não usar máscara.
#usemascara
#Covid_19 
https://t.co/FRogsTutrB",,True,Denise VACINA JÁ 💉 🐊,"Rio de Janeiro, Brasil",Mon Feb 01 13:26:07 +0000 2021,1
19,Rádio Folha PE,Música e informação de qualidade. 55.81.3425.0910 #RadioFolhaPE,Mon Feb 01 14:05:49 +0000 2021,#VACINAÇÃO | Bayer vai produzir vacina da CureVac contra Covid-19 - https://t.co/pCwidgRk9I https://t.co/3KqHaBCXxR,"Recife, Pernambuco, Brasil",False,,,,
20,FolhaPE,"O FolhaPE traz as principais notícias de Pernambuco, do Brasil e do mundo. Tudo a um clique de você.",Mon Feb 01 14:05:49 +0000 2021,#VACINAÇÃO | Bayer vai produzir vacina da CureVac contra Covid-19 - https://t.co/Ris87PpkrH https://t.co/jq3VfLfHPK,Recife-PE,False,,,,
21,Paulo Cesar🇧🇷🇧🇷🇧🇷🇧🇷,Bolsonarista,Mon Feb 01 14:05:50 +0000 2021,"RT @AlanLopesRio: O bom de você se posicionar sobre temas polêmicos, é que a separação entre o joio e o trigo é imediata! Reafirmo meu posi…","Rio das Ostras, Brasil",True,Alan Lopes,,Mon Feb 01 00:03:44 +0000 2021,1129
22,Agnes,Latino-americana. Mestranda na Fiocruz. Designer pela PUC-Rio. 🌎 #tecnologia #inovação #saúdecoletiva #saúdepública #SUS,Mon Feb 01 14:05:50 +0000 2021,"@Guivasconceloss eu disse que era impopular rs, mas sério, claro que não é uma resposta tão simplista. Eu tbm acho… https://t.co/T01yFIiLeY",,False,,,,
23,barbara,um | direito 🎓,Mon Feb 01 14:05:50 +0000 2021,RT @Silva_2822: Programa de vacinação é uma comédia pqp juro que raiva pessoas não prioritárias a ser vacinadas,Porto,True,Daniel Silva,,Mon Feb 01 13:05:12 +0000 2021,3
